rank,parcel_opportunity_score,owner,prop_id,situs,acres,node_name,node_edge_miles,frontage_roads,corner_signal,raw_score,future_residential_lots_nearby,aadt,aadt_5yr_growth_pct,nearest_retail_catalyst,flood_pct,floodway_pct,future_land_use,assessed_value,assessed_value_per_acre,land_value_per_acre,last_deed_date,hold_years,utility_confidence,why_this_tract,verification_notes
1,87.7,ARCADIA 75 LLC,1401059,FM 1957,23.17,Talley Rd / Potranco Rd,0.041,Unnamed road | W GROSENBACHER RD,STRONG,100,11439.6,39506,0,Culebra / SH 211 H-E-B,0.0,0.0,Suburban Tier / West,1550000.0,66897.0,66897.0,2023-01-26,3.7,UNKNOWN,corner exposure on a major road · within ¼ mile of priority intersection · 11439 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
2,87.2,SOUTHSTAR AT VERANO DEVELOPER LLC,1338594,LOOP 410 SOUTH,15.2,S Zarzamora / Mitra Way (VIDA),0.021,ANA HTS | SW LOOP 410 ACCESS RD | AZUL WAY,STRONG,100,1179.3,21950,22.4,H-E-B Foster campus,0.0,0.0,Urban Mixed-Use / Texas A&M San Antonio Area Regional Center Plan | Urban Mixed-Use / Texas A&M San Antonio Area Regional Center Plan | City/State/Federal Government / Texas A&M San Antonio Area Regional Center Plan,497410.0,32724.0,32724.0,2020-11-24,5.8,PROXY,corner exposure on a major road · within ¼ mile of priority intersection · 1179 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
3,86.6,RANCHO COACHELLA PROPERTIES,201209,STATE HWY 211,16.08,Potranco Rd / SH 211,0.269,ZETA DR | THETA DR | STATE HWY 211 S,STRONG,100,11269.7,26938,85.8,Culebra / SH 211 H-E-B,0.0,0.0,General Urban Tier / West,4022450.0,250152.0,250152.0,2001-04-02,25.5,UNKNOWN,corner exposure on a major road · within ½ mile of priority intersection · 11269 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
4,86.1,RANCH ON POTRANCO LLC,201245,13620  FM 1957,21.61,Potranco Rd / SH 211,0.301,Unnamed road | POTRANCO RD,STRONG,100,11269.7,31370,77.1,Culebra / SH 211 H-E-B,0.0,0.0,Suburban Tier / West,4800000.0,222119.0,222119.0,2017-10-27,8.9,UNKNOWN,corner exposure on a major road · within ½ mile of priority intersection · 11269 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
5,86.0,QT SOUTH LLC,201255,STATE HWY 211,22.62,Potranco Rd / SH 211,0.106,ZETA DR | POTRANCO RD | STATE HWY 211 S,STRONG,100,11269.7,26938,85.8,Culebra / SH 211 H-E-B,0.0,0.0,General Urban Tier / West,7647380.0,338080.0,338080.0,2020-05-02,6.4,UNKNOWN,corner exposure on a major road · within ¼ mile of priority intersection · 11269 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
6,85.9,RANCHO COACHELLA PROPERTIES,201186,STATE HWY 211,29.5,Potranco Rd / SH 211,0.355,STATE HWY 211 S | CITIBANK DR | ZETA DR | THETA DR,STRONG,100,11269.7,26938,85.8,Culebra / SH 211 H-E-B,0.0,0.0,General Urban Tier / West,7887456.0,267371.0,267371.0,2001-04-02,25.5,UNKNOWN,corner exposure on a major road · within ½ mile of priority intersection · 11269 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
7,85.7,THREE ENCINO CROSSING LTD,1280325,W GROSENBACHER RD,9.78,Talley Rd / Potranco Rd,0.222,W GROSENBACHER RD | Unnamed road,STRONG,100,11439.6,6400,0,Culebra / SH 211 H-E-B,0.0,0.0,Suburban Tier / West,890000.0,91002.0,91002.0,2017-09-01,9.1,UNKNOWN,corner exposure on a major road · within ¼ mile of priority intersection · 11439 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
8,85.7,LEHMAN BETTY LOUISE,241183,15279  CULEBRA RD,8.26,Culebra Rd / SH 211,0.162,Unnamed road | GERONIMO LOOP,STRONG,73.8,8293.8,11644,38.8,Culebra / SH 211 H-E-B,0.0,0.0,,620000.0,75061.0,59010.0,,,UNKNOWN,corner exposure on a major road · within ¼ mile of priority intersection · 8293 weighted future residential lots nearby · 0.2 mi from Culebra / SH 211 H-E-B,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
9,85.1,MELISSA RANCH 1856 LP,691218,4500 W PUE RD,12.53,US 90 / Loop 1604 West,0.739,US HWY 90 W ACCESS RD | Unnamed road | PUE RD,STRONG,100,4718.1,55327,58.0,Culebra / SH 211 H-E-B,0.6,0.0,Urban Mixed Use,2226630.0,177704.0,177704.0,2016-02-01,10.6,PROXY,corner exposure on a major road · within 1 mile of priority intersection · 4718 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
10,84.9,ARCADIA 75 LLC,200735,12555 W GROSENBACHER RD,74.97,Talley Rd / Potranco Rd,0.0,Unnamed road | W GROSENBACHER RD,STRONG,100,11439.6,6400,0,Culebra / SH 211 H-E-B,0.7,0.0,Suburban Tier / West,5000000.0,66693.0,66693.0,2022-07-12,4.2,UNKNOWN,corner exposure on a major road · within ¼ mile of priority intersection · 11439 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
11,84.8,SAN ANTONIO HOUSING TRUST PUBLIC FACILITY CORPORATION,1428493,RESEARCH PLAZA,6.83,Louis Bauer Dr / Laser Dr (Brooks),0.242,RESEARCH PLAZA | S NEW BRAUNFELS AVE | CHALLENGER DR | TUSKEEGEE RD,YES,96.3,2689.8,10307,17.4,H-E-B Foster campus,0.0,0.0,Regional Mixed-Use / Brooks Area Regional Center Plan | Regional Mixed-Use / Brooks Area Regional Center Plan,2847640.0,416931.0,404060.0,2024-08-07,2.1,PROXY,road frontage · within ¼ mile of priority intersection · 2689 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
12,84.7,SCHERTZ 1518 LTD,309935,LOWER SEGUIN RD,35.14,FM 1516 / I-10 East,0.478,LOWER SEGUIN RD | SCHNEBLY DR,STRONG,100,2930.2,6664,58.5,I-10 / Loop 1604 East H-E-B,0.0,0.0,,1701808.0,48429.0,48429.0,2005-07-01,21.2,UNKNOWN,corner exposure on a major road · within ½ mile of priority intersection · 2930 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
13,84.3,METHODIST HEALTHCARE SYSTEM OF SAN ANTONIO LTD LLP,688695,SW LOOP 410,9.14,S Zarzamora / Mitra Way (VIDA),0.171,S Zarzamora St | SW LOOP 410 ACCESS RD | S ZARZAMORA | MITRA WAY,STRONG,100,1179.3,21950,22.4,H-E-B Foster campus,0.0,0.0,General Urban Tier / Heritage South,2590180.0,283389.0,283389.0,2024-11-19,1.8,PROXY,corner exposure on a major road · within ¼ mile of priority intersection · 1179 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
14,84.0,VHS SAN ANTONIO PARTNERS LLC,1122022,8010  CHENNAULT PATH,19.95,Louis Bauer Dr / Laser Dr (Brooks),0.09,CHENNAULT PATH | TUSKEEGEE RD | RESEARCH PLAZA | INNER CIRCLE DR,YES,89.5,2689.8,28899,-8.7,H-E-B Foster campus,0.0,0.0,Business/Innovation Mixed-Use / Brooks Area Regional Center Plan | Business/Innovation Mixed-Use / Brooks Area Regional Center Plan,6900000.0,345865.0,332531.0,2012-10-22,13.9,PROXY,road frontage · within ¼ mile of priority intersection · 2689 weighted future residential lots nearby · mostly raw / low-improvement land,"Road frontage is a GIS proximity/overlap proxy, not legal access. Flood is FEMA screening. Utilities are not verified. Confirm survey, title, access, ROW and capacity."
